CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,Analytical Skill,Analyses and infers hidden ideas,75.9450103093,50.515680477742066
5,Analytical Skill,Interprets the lines of a poem,59.4501597938,50.769640514966454
5,Analytical Skill,Understands organisation and context of the passage,75.9450278351,47.94090663777769
5,Analytical Skill,Understands the usage of grammar concepts,64.2121072165,48.2731309835515
5,Core Skill,Deduces word meanings from contextual clues,76.6323216495,50.49663679274824
5,Core Skill,Identifies and recalls direct facts in the passage,61.4432814433,50.44107411830269
5,Core Skill,"Identifies synonyms, antonyms and other words",68.8659948454,49.13746109564056
5,Core Skill,Identifies the main idea and purpose of the passage,60.4123556701,47.12446919457881
5,Core Skill,Knows correct spellings and phonics in words,64.0893381443,47.817798633124475
5,Core Skill,Knows punctuation and sentence formation,71.9072123711,50.8276078912701
8,Analytical Skill,Analyses characters and situations,68.48956875,47.60370053343227
8,Analytical Skill,Infers using contextual clues and prior knowledge,56.8750041667,47.16368182337015
8,Analytical Skill,"Registers moods, tones and emotions",67.7083395833,45.02952183311057
8,Analytical Skill,"Understands idioms, proverbs and figures of speech",66.1458395833,45.15565929408451
8,Analytical Skill,Understands organisation and context of the passage,59.02779375,44.91790127094211
8,Analytical Skill,Understands the usage of grammar concepts,59.6725833333,48.158168896918404
8,Core Skill,Deduces word meanings from contextual clues,65.9722354167,47.504000150963385
8,Core Skill,Identifies and recalls direct facts in the passage,71.2500041667,52.30588240813198
8,Core Skill,"Identifies synonyms, antonyms and other words",65.50924375,44.919302428145116
8,Core Skill,Identifies the main idea and purpose of the passage,62.2916875,46.28936205091433
8,Core Skill,Knows punctuation and sentence formation,55.2083479167,45.49274779472903
