CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,,कथानक के मूल तथ्यों को समझना,54.4270583333,55.946994740892286
5,,तर्क-सम्मत निष्कर्ष निकालना / विश्लेषण करना,54.3981583333,50.673635901744106
5,,वर्णमाला-क्रम एवं शब्दों की शुद्ध वर्तनी,50.6249729167,41.33476428478458
5,,विभिन्न प्रकार के शब्दों का ज्ञान एवं उचित प्रयोग,49.3055854167,47.53375528574079
5,,व्याकरण के तत्वों की व्यावहारिक जानकारी,42.4107208333,54.333127056928774
8,,कथानक के मूल तथ्यों को समझना,42.3711237113,48.25745565311609
8,,तर्क-सम्मत निष्कर्ष निकालना / विश्लेषण करना,36.8924927835,46.01407823321769
8,,रूढ़िगत शब्दों और मुहावरों का अर्थ और प्रयोग,46.391757732,45.74688049782968
8,,वर्णमाला-क्रम एवं शब्दों की शुद्ध वर्तनी,27.4914216495,36.11775081928975
8,,विभिन्न प्रकार के शब्दों का ज्ञान एवं उचित प्रयोग,35.4639123711,44.85682098678577
8,,व्याकरण के तत्वों की व्यावहारिक जानकारी,45.9793659794,52.65008508057072
