CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,Analytical Skill,"Applications in daily life: money, time, calendar, length etc.",56.2500020833,45.715213064128775
5,Analytical Skill,Applications in daily life: word/visual problems,60.5902645833,44.94580012453758
5,Analytical Skill,Measurement and data interpretation,71.0937541667,48.61780920285198
5,Analytical Skill,Problem solving: advanced or challenging problems,66.4583270833,42.376897045434475
5,Core Skill,"Arithmetic operations: four basic operations, properties",65.8333395833,47.231936978050335
5,Core Skill,Basic shapes and geometry,58.7499854167,50.26588451898463
5,Core Skill,Fractions: concepts and applications,63.5416479167,40.397873702712374
5,Core Skill,"Number sense, related concepts and basic number competency",67.4999833333,46.2582219640555
8,Analytical Skill,Algebra: concepts and applications,54.4329845361,42.89172792043615
8,Analytical Skill,Applications in daily life: word/visual problems,46.5635824742,41.55454002931388
8,Analytical Skill,"Data interpretation/analysis: concept of averages, graph reading, etc.",55.6701020619,42.710079557567425
8,Analytical Skill,Problem solving: advanced or challenging problems,55.4123927835,37.84951486612606
8,Core Skill,"Fractions, decimals, ratios and percentages: applications",44.0721556701,43.49246008447583
8,Core Skill,Geometry: concepts and applications,54.8109989691,40.339988011106534
8,Core Skill,"Integers and rational numbers, powers and bases",50.0000061856,42.47454561238406
8,Core Skill,Mensuration: area and perimeter; volume,41.7525783505,36.47058533121149
8,Core Skill,"Number sense, related competency and computation skills",52.3195824742,38.77216835207402
