CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,,Analyzing geographic information,54.5103185567,54.270449057631545
5,,"Analyzing historical source evidence, and chronological knowledge and understanding",50.0736309278,53.48676986485642
5,,"Knowledge and understanding of general, cultural and social issues",51.0309474227,56.55292932595422
5,,Knowledge and understanding of governance and civic engagement,56.3144391753,54.31393489704062
5,,Knowledge and understanding of historical developments,50.1718329897,52.26071966227035
5,,Knowledge and understanding of physical and human geography,55.0809835052,52.84763713910643
8,,Analyzing geographic information,42.0103154639,46.04670754686915
8,,"Analyzing historical source evidence, and chronological knowledge and understanding",56.7010237113,41.259296927465435
8,,Knowledge and understanding of civic engagement,66.5979381443,49.38239791863566
8,,"Knowledge and understanding of general, cultural and social issues",67.7835206186,47.123225259343656
8,,Knowledge and understanding of governance,40.6185360825,41.70087538455087
8,,Knowledge and understanding of historical developments,55.4123556701,43.22266339326058
8,,Knowledge and understanding of physical and human geography,40.0773360825,44.83639072026698
