CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,Analytical Skill,Analyses and infers hidden ideas,75.9450103093,50.51571583324213
5,Analytical Skill,Interprets the lines of a poem,59.4501597938,50.76967703018518
5,Analytical Skill,Understands organisation and context of the passage,75.9450278351,47.94106712313283
5,Analytical Skill,Understands the usage of grammar concepts,64.2121072165,48.27320122691437
5,Core Skill,Deduces word meanings from contextual clues,76.6323216495,50.496847561630744
5,Core Skill,Identifies and recalls direct facts in the passage,61.4432814433,50.44112643694595
5,Core Skill,"Identifies synonyms, antonyms and other words",68.8659948454,49.13740852914163
5,Core Skill,Identifies the main idea and purpose of the passage,60.4123556701,47.1245145052018
5,Core Skill,Knows correct spellings and phonics in words,64.0893381443,47.81783389021033
5,Core Skill,Knows punctuation and sentence formation,71.9072123711,50.82770906244593
8,Analytical Skill,Analyses characters and situations,68.48956875,47.60362329208369
8,Analytical Skill,Infers using contextual clues and prior knowledge,56.8750041667,47.163637265222356
8,Analytical Skill,"Registers moods, tones and emotions",67.7083395833,45.02948495307099
8,Analytical Skill,"Understands idioms, proverbs and figures of speech",66.1458395833,45.155743800425576
8,Analytical Skill,Understands organisation and context of the passage,59.02779375,44.917904941874035
8,Analytical Skill,Understands the usage of grammar concepts,59.6725833333,48.158089178394434
8,Core Skill,Deduces word meanings from contextual clues,65.9722354167,47.50394322001703
8,Core Skill,Identifies and recalls direct facts in the passage,71.2500041667,52.305824109720966
8,Core Skill,"Identifies synonyms, antonyms and other words",65.50924375,44.919257655619596
8,Core Skill,Identifies the main idea and purpose of the passage,62.2916875,46.28933369713885
8,Core Skill,Knows punctuation and sentence formation,55.2083479167,45.4926869101943
